Concept	Regex	Home	HomePartLects	Deps	DepPartLects	SumBadDist
змінн+	/\W[з|З]мінн\w{0,3}\W/gm	1	0.Prolog (_pro)	5	9.Цикли (02 К); 13.Змінна кількість параметрів (021 ); 23.Тип String (05 Р); 32.Мова Smalltalk (07 О); 47.Спадкування та приведення типу (11 К)	0
констант+	/\W[к|К]онстант\w{0,3}\W/gm	1	0.Prolog (_pro)	3	19.Тип char (04 Н); 53.Поліморфізм (13 П); 109.36 Зв'язані списки (36 З)	0
літерал+	/\W[л|Л]ітерал\w{0,3}\W/gm	1	0.Prolog (_pro)	1	18.Тип bool (04 Н)	0
оператор+	/\W[о|О]ператор\w{0,3}\W/gm	1	0.Prolog (_pro)	2	14.03 Масиви (03 М); 18.Тип bool (04 Н)	0
&& 	/\W&&\s+\W/gm	1	0.Prolog (_pro)	1	18.Тип bool (04 Н)	0
VERBAR2 	/\W\|\|\s+\W/gm	1	0.Prolog (_pro)	0		0
команд+	/\W[к|К]оманд\w{0,3}\W/gm	1	0.Prolog (_pro)	7	3.CLI (01 В); 7.Присвоювання (02 К); 16.Вreak, continue і goto (03 М); 31.Ідея ООП (07 О); 60.Як створити програмний виняток (15 В); 69.Команда using (18 Г); 121.40 Генератори (40 Г)	0
присвоюванн+	/\W[п|П]рисвоюванн\w{0,3}\W/gm	2	0.Prolog (_pro); 7.Присвоювання (02 К)	4	7.Присвоювання (02 К); 28.06 Структури (06 С); 30.Конструктор копіювання (06 С); 47.Спадкування та приведення типу (11 К)	0
ініціалізац+	/\W[і|І]ніціалізац\w{0,3}\W/gm	1	0.Prolog (_pro)	3	12.Специфікатор ref (021 ); 43.Спадкування та конструктори (10 С); 50.Статичні члени класу (111 )	0
масив+	/\W[м|М]асив\w{0,3}\W/gm	2	0.Prolog (_pro); 14.03 Масиви (03 М)	22	12.Специфікатор ref (021 ); 14.03 Масиви (03 М); 15.Властивості та методи масиву (03 М); 17.Багатомірні масиви (03 М); 23.Тип String (05 Р); 40.Індексатори (09 В); 41.Приклад - колекція рядків (09 В); 54.Приклад. Модель бібліотеки (13 П); 57.Модель (14 Г); 65.Абстрактний клас TextWriter (17 Т); 66.Кодування символів (17 Т); 77.Узагальнені методи (21 У); 79.22 Узагальнені класи (22 У); 83.Колекція List<T> (23 П); 84.24 Делегати (24 Д); 95.Код форми з поясненнями (32 Х); 109.36 Зв'язані списки (36 З); 110.Часова складність операцій (36 З); 116.Як влаштована хеш-таблиця (38 Х); 124.51 LINQ. Вступ (51 L); 130.Запит SelectMany (53 L); 132.Запит Join (53 L)	0
компілят+	/\W[к|К]омпілят\w{0,3}\W/gm	1	0.Prolog (_pro)	7	5.Файл Program.cs (01 В); 9.Цикли (02 К); 36.Рівні доступу (08 І); 47.Спадкування та приведення типу (11 К); 77.Узагальнені методи (21 У); 85.Як влаштований делегат (24 Д); 121.40 Генератори (40 Г)	0
середовищ+ виконання	/\W[с|С]ередовищ\w{0,3}\s+виконання\W/gm	1	0.Prolog (_pro)	0		0
функці+	/\W[ф|Ф]ункці\w{0,3}\W/gm	1	0.Prolog (_pro)	20	1.ООП і класи (01 В); 5.Файл Program.cs (01 В); 10.Статичні методі (021 ); 11.Параметри за замовчанням (021 ); 35.08 Інкапсуляція (08 І); 50.Статичні члени класу (111 ); 60.Як створити програмний виняток (15 В); 76.Принцип підстановки Лісков (21 У); 84.24 Делегати (24 Д); 85.Як влаштований делегат (24 Д); 87.25 Події (25 П); 93.UI гри (32 Х); 96.33 Університетська Бібліотека (УБ) (33 У); 99.Головне меню (34 У); 109.36 Зв'язані списки (36 З); 116.Як влаштована хеш-таблиця (38 Х); 121.40 Генератори (40 Г); 124.51 LINQ. Вступ (51 L); 129.Запити агрегації (52 L); 132.Запит Join (53 L)	0
параметр+	/\W[п|П]араметр\w{0,3}\W/gm	1	0.Prolog (_pro)	16	11.Параметри за замовчанням (021 ); 12.Специфікатор ref (021 ); 29.Методи структури (06 С); 30.Конструктор копіювання (06 С); 32.Мова Smalltalk (07 О); 40.Індексатори (09 В); 48.Параметри методів (11 К); 50.Статичні члени класу (111 ); 77.Узагальнені методи (21 У); 78.Обмеження типу (21 У); 79.22 Узагальнені класи (22 У); 84.24 Делегати (24 Д); 100.Події у WinForms (34 У); 123.Автономні генератори (40 Г); 129.Запити агрегації (52 L); 131.Запит GroupBy (53 L)	0
аргумент+	/\W[а|А]ргумент\w{0,3}\W/gm	1	0.Prolog (_pro)	7	11.Параметри за замовчанням (021 ); 12.Специфікатор ref (021 ); 13.Змінна кількість параметрів (021 ); 48.Параметри методів (11 К); 77.Узагальнені методи (21 У); 84.24 Делегати (24 Д); 86.Лямбда-вирази (24 Д)	0
