OrdNo	PartId	LectName	Defed	Used
0	Prolog	_prolog	28	0	
1	ООП і класи	01 Вступ.	1	4	
2	Платформа .NET	01 Вступ.	4	2	
3	Мова C#	01 Вступ.	3	3	
4	CLI	01 Вступ.	2	1	
5	Visual Studio	01 Вступ.	5	1	
6	Файл Program.cs	01 Вступ.	6	11	
7	Система типів	02 Конструкції управління.	2	1	
8	Присвоювання	02 Конструкції управління.	3	4	
9	Умовна команда	02 Конструкції управління.	1	0	
10	Цикли	02 Конструкції управління.	5	6	
11	Статичні методі	021 Функції.	1	8	
12	Параметри за замовчанням	021 Функції.	0	6	
13	Специфікатор ref	021 Функції.	2	13	
14	Змінна кількість параметрів	021 Функції.	1	2	
15	03 Масиви	03 Масиви.	4	4	
16	Властивості та методи масиву	03 Масиви.	5	9	
17	Вreak, continue і goto	03 Масиви.	3	2	
18	Багатомірні масиви	03 Масиви.	1	12	
19	Невирівняні (jagged) масиви	03 Масиви.	1	1	
20	Тип bool	04 Нечислові типи даних.	4	5	
21	Тип char	04 Нечислові типи даних.	1	6	
22	Введення символів з клавіатури 	04 Нечислові типи даних.	3	5	
23	Кодування ASCII	04 Нечислові типи даних.	1	0	
24	Кодування Unicode	04 Нечислові типи даних.	3	2	
25	Тип String	05 Рядки.	1	4	
26	Рядкові літерали	05 Рядки.	1	1	
27	Конструктори та селектори рядків	05 Рядки.	0	8	
28	Операції з рядками	05 Рядки.	3	2	
29	Введення та виведення на консоль	05 Рядки.	5	3	
30	Форматування чисел	05 Рядки.	0	0	
31	06 Структури	06 Структури.	3	4	
32	Методи структури	06 Структури.	1	3	
33	Конструктор копіювання	06 Структури.	3	13	
34	07 Основні поняття ООП	07 Основні поняття ООП.	3	2	
35	Мова Smalltalk	07 Основні поняття ООП.	1	3	
36	Мова Simula	07 Основні поняття ООП.	1	7	
37	Приклад класу - Turtle	07 Основні поняття ООП.	1	10	
38	08 Інкапсуляція	08 Інкапсуляція.	2	1	
39	Рівні доступу	08 Інкапсуляція.	1	5	
40	Приховування даних	08 Інкапсуляція.	1	8	
